Year,Name,Team,Position
2023,Jayden Daniels,LSU,QB
2022,Caleb Williams,USC,QB
2021,Bryce Young,Alabama,QB
2020,DeVonta Smith,Alabama,WR
2019,Joe Burrow,LSU,QB
2018,Kyler Murray,Oklahoma,QB
2017,Baker Mayfield,Oklahoma,QB
2016,Lamar Jackson,Louisville,QB
2015,Derrick Henry,Alabama,RB
2014,Marcus Mariota,Oregon,QB
2013,Jameis Winston,Florida State,QB
2012,Johnny Manziel,Texas A&M,QB
2011,Robert Griffin III,Baylor,QB
2010,Cam Newton,Auburn,QB
2009,Mark Ingram,Alabama,RB
2008,Sam Bradford,Oklahoma,QB
2007,Tim Tebow,Florida,QB
2006,Troy Smith,Ohio State,QB
2005,Reggie Bush,USC,RB
2004,Matt Leinart,USC,QB
2003,Jason White,Oklahoma,QB
2002,Carson Palmer,USC,QB
2001,Eric Crouch,Nebraska,QB
2000,Chris Weinke,Florida State,QB
1999,Ron Dayne,Wisconsin,RB
1998,Ricky Williams,Texas,RB
1997,Charles Woodson,Michigan,CB
1996,Danny Wuerffel,Florida,QB
1995,Eddie George,Ohio State,RB
1994,Rashaan Salaam,Colorado,RB
1993,Charlie Ward,Florida State,QB
1992,Gino Torretta,Miami,QB
1991,Desmond Howard,Michigan,WR
1990,Ty Detmer,Brigham Young,QB
1989,Andre Ware,Houston,QB
1988,Barry Sanders,Oklahoma State,RB
1987,Tim Brown,Notre Dame,WR
1986,Vinny Testaverde,Miami,QB
1985,Bo Jackson,Auburn,RB
1984,Doug Flutie,Boston College,QB
1983,Mike Rozier,Nebraska,RB
1982,Herschel Walker,Georgia,RB
1981,Marcus Allen,USC,RB
1980,George Rogers,South Carolina,RB
1979,Charles White,USC,RB
1978,Billy Sims,Oklahoma,RB
1977,Earl Campbell,Texas,RB
1976,Tony Dorsett,Pittsburgh,RB
1975,Archie Griffin,Ohio State,RB
1974,Archie Griffin,Ohio State,RB
1973,John Cappelletti,Penn State,RB
1972,Johnny Rodgers,Nebraska,RB
1971,Pat Sullivan,Auburn,QB
1970,Jim Plunkett,Stanford,QB
1969,Steve Owens,Oklahoma,FB
1968,O.J. Simpson,USC,RB
1967,Gary Beban,UCLA,QB
1966,Steve Spurrier,Florida,QB
1965,Mike Garrett,USC,RB
1964,John Huarte,Notre Dame,QB
1963,Roger Staubach,Navy,QB
1962,Terry Baker,Oregon State,QB
1961,Ernie Davis,Syracuse,RB
1960,Joe Bellino,Navy,RB
1959,Billy Cannon,Louisiana State,RB
1958,Pete Dawkins,Army,RB
1957,John David Crow,Texas A&M,RB
1956,Paul Hornung,Notre Dame,QB
1955,Howard Cassady,Ohio State,RB
1954,Alan Ameche,Wisconsin,RB
1953,John Lattner,Notre Dame,RB
1952,Billy Vessels,Oklahoma,RB
1951,Dick Kazmaier,Princeton,RB
1950,Vic Janowicz,Ohio State,RB
1949,Leon Hart,Notre Dame,END
1948,Doak Walker,SMU,RB
1947,John Lujack,Notre Dame,QB
1946,Glenn Davis,Army,RB
1945,Felix Blanchard,Army,FB
1944,Les Horvath,Ohio State,HB
1943,Angelo Bertelli,Notre Dame,QB
1942,Frank Sinkwich,Georgia,RB
1941,Bruce Smith,Minnesota,RB
1940,Tom Harmon,Michigan,RB
1939,Nile Kinnick,Iowa,RB
1938,Davey O'Brien,TCU,QB
1937,Clinton Frank,Yale,QB
1936,Larry Kelley,Yale,END
1935,Jay Berwanger,Chicago,RB